,region,period_begin,period_end,period_duration,median_sale_price,homes_sold
2991671,"Chicago, IL",2020-09-01,2020-09-30,30,295000.0,1109.0
2994684,"Chicago, IL",2020-04-01,2020-04-30,30,288000.0,729.0
3001764,"Raleigh, NC",2022-07-01,2022-07-31,30,490000.0,364.0
3004254,"Denver, CO",2020-10-01,2020-10-31,30,567000.0,929.0
3006535,"Chicago, IL",2018-01-01,2018-01-31,30,209000.0,695.0
3022388,"Denver, CO",2021-09-01,2021-09-30,30,600000.0,709.0
3032230,"Boston, MA",2021-01-01,2021-01-31,30,692000.0,78.0
3051920,"Atlanta, GA",2019-07-01,2019-07-31,30,370000.0,642.0
3071611,"Austin, TX",2020-04-01,2020-04-30,30,435000.0,690.0
3073365,"Chicago, IL",2018-07-01,2018-07-31,30,255000.0,1044.0
3075726,"Chicago, IL",2022-09-01,2022-09-30,30,299000.0,813.0
3084942,"Austin, TX",2022-12-01,2022-12-31,30,550000.0,553.0
3086164,"Denver, CO",2020-07-01,2020-07-31,30,529000.0,978.0
3087639,"Los Angeles, CA",2022-02-01,2022-02-28,30,1112500.0,1110.0
3110553,"Atlanta, GA",2018-10-01,2018-10-31,30,315000.0,520.0
3112305,"Austin, TX",2021-01-01,2021-01-31,30,511000.0,625.0
3125588,"Austin, TX",2022-08-01,2022-08-31,30,615000.0,721.0
3152286,"San Francisco, CA",2018-04-01,2018-04-30,30,1648000.0,184.0
3157882,"New York, NY",2021-07-01,2021-07-31,30,679625.0,934.0
3162449,"Seattle, WA",2021-04-01,2021-04-30,30,970000.0,705.0
3199431,"Austin, TX",2022-07-01,2022-07-31,30,676852.5,684.0
3202370,"Denver, CO",2018-02-01,2018-02-28,30,455000.0,579.0
3229792,"Chicago, IL",2021-04-01,2021-04-30,30,340000.0,966.0
3237604,"Chicago, IL",2018-02-01,2018-02-28,30,208500.0,637.0
3245461,"Seattle, WA",2020-10-01,2020-10-31,30,845500.0,780.0
3250528,"Chicago, IL",2022-05-01,2022-05-31,30,330000.0,1091.0
3253721,"New York, NY",2022-06-01,2022-06-30,30,720000.0,871.0
3259283,"Denver, CO",2022-02-01,2022-02-28,30,665000.0,472.0
3291279,"New York, NY",2018-02-01,2018-02-28,30,580000.0,546.0
3302973,"New York, NY",2022-05-01,2022-05-31,30,720000.0,767.0
3309695,"Seattle, WA",2020-09-01,2020-09-30,30,845000.0,751.0
3315376,"New York, NY",2018-08-01,2018-08-31,30,595000.0,811.0
3325117,"Denver, CO",2022-01-01,2022-01-31,30,580000.0,383.0
3325552,"Seattle, WA",2022-03-01,2022-03-31,30,1135000.0,551.0
3340284,"New York, NY",2022-07-01,2022-07-31,30,750000.0,858.0
3349298,"Austin, TX",2021-09-01,2021-09-30,30,592000.0,931.0
3371111,"Chicago, IL",2023-02-01,2023-02-28,30,290000.0,446.0
3371528,"Austin, TX",2018-08-01,2018-08-31,30,393000.0,1039.0
3380146,"Atlanta, GA",2020-02-01,2020-02-29,30,310000.0,505.0
3382588,"Austin, TX",2019-02-01,2019-02-28,30,359500.0,713.0
3383270,"Atlanta, GA",2019-08-01,2019-08-31,30,343500.0,637.0
3399109,"Denver, CO",2018-09-01,2018-09-30,30,450000.0,661.0
3399704,"Atlanta, GA",2018-07-01,2018-07-31,30,365000.0,574.0
3437398,"Chicago, IL",2019-11-01,2019-11-30,30,234500.0,748.0
3449016,"Atlanta, GA",2019-03-01,2019-03-31,30,338750.0,607.0
3454012,"Atlanta, GA",2021-01-01,2021-01-31,30,373500.0,444.0
3467346,"Atlanta, GA",2022-10-01,2022-10-31,30,550000.0,380.0
3470162,"Atlanta, GA",2022-12-01,2022-12-31,30,450000.0,322.0
3480074,"Seattle, WA",2020-03-01,2020-03-31,30,879000.0,453.0
3489959,"Atlanta, GA",2022-03-01,2022-03-31,30,460000.0,657.0
3489992,"Atlanta, GA",2020-05-01,2020-05-31,30,384000.0,450.0
3519167,"Denver, CO",2022-08-01,2022-08-31,30,650000.0,572.0
3537754,"Chicago, IL",2019-10-01,2019-10-31,30,235000.0,939.0
3552235,"Denver, CO",2023-02-01,2023-02-28,30,612825.0,397.0
3552379,"Austin, TX",2019-04-01,2019-04-30,30,405000.0,988.0
